id_sam_erp,title_it,cover_image,gallery
A110 | W398,EDERA Shopper per gioielli,SF1106142150715_front.jpg,SF1106142150715_side.jpg
A655 | W371,SILE Astucci per collane,AF655491010_TC.jpg,AF655491010_FA.jpg
A655 | W372,SILE Astucci per anelli,AF655021010_TC.jpg,AF655021010_FA.jpg
A655 | W373,SILE Astucci per orecchini,AF655141010_TC.jpg,AF655141010_FA.jpg
A655 | W374,SILE Astucci per bracciali,AF655421010_TC.jpg,AF655421010_FA.jpg
A116 | W398,STAR Shopper per gioielli,SF3146109_front.jpg,SF3146109_side.jpg
AF127 | W369,VOGUE Astucci per gioielli,NULL,NULL
EF | W381,ESPOSITORI Espositori anelli,NULL,NULL
A116 | W371,STAR Astucci per collane,AF116560926_TC.jpg,AF116560926_FA.jpg
A115 | W372,BABY EDERA Astucci per anelli,AF1152202000200_TC.jpg,AF1152202000200_FA.jpg
EF | W382,ESPOSITORI Espositori orecchini,NULL,NULL
S101 | W398,SHOPPER NEW ALTEA Shopper per gioielli,SF1016110_front.jpg,SF1016110_side.jpg
S105 | W398,SMART Shopper per gioielli,SF1052110_front.jpg,SF1052110_side.jpg
S117 | W398,SHOPPER ETNO Shopper per gioielli,SF1176157_front.jpg,SF1176157_side.jpg
A105 | W374,SMART Astucci per bracciali,NULL,NULL
A105 | W372,SMART Astucci per anelli,NULL,NULL
S120 | W398,PUNTINATA Shopper per gioielli,SF1206110150715_front.jpg,SF1206110150715_side.jpg
7PET | W380,PETTIERE Espositiori collana,NULL,NULL
