sku,description_it,image_
AF105254201,SMART | Mtp multi 90x90x32mm | AVORIO-OPAL,
AF116253940,STAR | Mtp multi 92x92x40mm | ORO-MARRONE, AF116253940_TA.jpg
AF150222010,FLOWER | Mtp multi 62x62x27mm Flower | BLU-NERO,
AF12856424200,VOGUE | 110X150x40mm  ASSORITO | AVORIO,
AF12849424200,VOGUE | 180X180x40mm  ASSORITO | AVORIO,
AF12842424200,"VOGUE | 22.4X40X35mm  ASSORITO | AVORIO",
AF12825424200,VOGUE | 92x92x40mm  ASSORITO | AVORIO,
AF106254201,SMART | Mtp multi 90x90x32mm | AVORIO-OPAL,
AF106234201,SMART | Mtp multi 70x70x28mm  | AVORIO-OPAL,
AF105414201,SMART | Bracciale 230x40x28mm | AVORIO-OPAL,
AF1052510I,SMART | Mtp multi 90x90x32mm | NERO,
AF530930810,ARTEMIDE | An/Or 70x70x52mm  ARTEMIDE | ANTRACITE,
AF105234201,SMART | Mtp multi 70x70x28mm  | AVORIO-OPAL,
AF105214201,SMART | Mtp multi 50x50x32 mm Smart | AVORIO-OPAL,
AF1052110,SMART | Mtp multi 50x50x32 mm Smart | NERO,
AF12823424200,VOGUE | 72x72x40mm  ASSORITO | AVORIO,
AF12821424200,VOGUE | 52x52x35mm  ASSORITO | AVORIO,
